Game_Date,Pitcher,team,opponent,Target_Label,Projection,Actual_K,Projection_Headroom,Actual_Margin,Ladder_Win,Crusher_Event,Mega_Crusher_Event,Raw_Path_Target_Probability,Confidence,Data_Quality,Data_Quality_Bucket,Headroom_Bucket,Opponent_K_Bucket,Lineup_State,Weather_Risk,Leash_Label,Starter_Role,Production_Authority,Report_Only,Crusher_Version
2026-08-14,Bubba Chandler,PIT,BOS,4+,4.53317940662322,5.0,0.53317940662322,1.0,True,False,False,0.6674672199400904,HIGH,77,75-89,0.50-0.74,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Sean Newcomb,CHW,DET,4+,4.293658542998768,2.0,0.29365854299876837,-2.0,False,False,False,0.6142416585560155,MEDIUM,53,50-74,0.25-0.49,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Jackson Jobe,DET,CHW,4+,4.509072904569642,4.0,0.509072904569642,0.0,True,False,False,0.6662095889008485,HIGH,60,50-74,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Andrew Alvarez,WSH,NYM,4+,4.411414403822503,4.0,0.41141440382250316,0.0,True,False,False,0.6511952768137343,HIGH,65,50-74,0.25-0.49,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Robert Stock,NYM,WSH,4+,4.350693049617538,5.0,0.3506930496175382,1.0,True,False,False,0.6363997033107749,MEDIUM,47,<50,0.25-0.49,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Michael King,SDP,CLE,4+,4.756564500312371,4.0,0.7565645003123711,0.0,True,False,False,0.7099204591627534,HIGH,79,75-89,0.75-0.99,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Gavin Williams,CLE,SDP,5+,5.778883370854544,5.0,0.778883370854544,0.0,True,False,False,0.684890322060145,HIGH,79,75-89,0.75-0.99,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Brandon Pfaadt,ARI,ATL,4+,4.695923424536369,7.0,0.6959234245363692,3.0,True,True,True,0.6943283368934432,HIGH,79,75-89,0.50-0.74,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Gerrit Cole,NYY,TOR,5+,5.1837125225898735,5.0,0.18371252258987347,0.0,True,False,False,0.5847128741500884,HIGH,65,50-74,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Shane Bieber,TOR,NYY,4+,4.789902636901819,5.0,0.7899026369018189,1.0,True,False,False,0.7055546147953903,HIGH,68,50-74,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,George Kirby,SEA,HOU,5+,5.055233311872689,2.0,0.05523331187268887,-3.0,False,False,False,0.5766702881538788,HIGH,77,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Peter Lambert,HOU,SEA,4+,4.964871980644212,6.0,0.9648719806442116,2.0,True,True,False,0.7413753498905093,HIGH,74,50-74,0.75-0.99,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Seth Lugo,KCR,LAA,4+,4.862892118380245,4.0,0.8628921183802447,0.0,True,False,False,0.7248627023810422,HIGH,79,75-89,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Grayson Rodriguez,LAA,KCR,4+,4.497707170109626,5.0,0.49770717010962606,1.0,True,False,False,0.6519494865601498,HIGH,62,50-74,0.25-0.49,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Kumar Rocker,TEX,ATH,4+,4.395781761680474,3.0,0.39578176168047374,-1.0,False,False,False,0.6445505560480466,HIGH,74,50-74,0.25-0.49,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Robert Gasser,MIL,LAD,4+,4.7466171474424845,7.0,0.7466171474424845,3.0,True,True,True,0.7059053025245983,HIGH,64,50-74,0.50-0.74,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Yoshinobu Yamamoto,LAD,MIL,5+,5.946600628694665,9.0,0.9466006286946653,4.0,True,True,True,0.7195320065796726,HIGH,76,75-89,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,LONG,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Kyle Freeland,COL,SFG,5+,5.705471119678161,2.0,0.7054711196781609,-3.0,False,False,False,0.6825386374169748,HIGH,76,75-89,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Landen Roupp,SFG,COL,5+,5.18952142514298,5.0,0.18952142514298043,0.0,True,False,False,0.5985427150297761,HIGH,78,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Chris Sale,ATL,ARI,5+,5.485459497169694,9.0,0.4854594971696944,4.0,True,True,True,0.6469035342731773,HIGH,76,75-89,0.25-0.49,LOW_K_<22,CONFIRMED,UNKNOWN,LONG,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Chris Bassitt,BAL,TBR,4+,4.100788408450873,3.0,0.10078840845087278,-1.0,False,False,False,0.574144754397713,HIGH,79,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Steven Matz,TBR,BAL,4+,4.256740631891617,1.0,0.256740631891617,-3.0,False,False,False,0.607909998711427,HIGH,62,50-74,0.25-0.49,HIGH_K_25+,CONFIRMED,UNKNOWN,TIGHT,LOW_RECENT_EXPOSURE,NONE,True,projection-crusher-v2-report-only
2026-08-14,Gage Jump,ATH,TEX,5+,5.663479055047671,1.0,0.663479055047671,-4.0,False,False,False,0.6732297911302467,HIGH,65,50-74,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-15,Anthony Kay,CHW,DET,4+,4.794158051567684,4.0,0.7941580515676838,0.0,True,False,False,0.7167115547140409,HIGH,77,75-89,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,RAMPING,NONE,True,projection-crusher-v2-report-only
2026-08-15,Troy Melton,DET,CHW,5+,5.350953547943936,4.0,0.3509535479439361,-1.0,False,False,False,0.6292303560933765,HIGH,64,50-74,0.25-0.49,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-15,Michael McGreevy,STL,CHC,4+,4.488471728532872,6.0,0.4884717285328719,2.0,True,True,False,0.6638396461552099,HIGH,78,75-89,0.25-0.49,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-15,Matthew Boyd,CHC,STL,5+,5.168619874051423,2.0,0.16861987405142287,-3.0,False,False,False,0.5929966086063977,HIGH,65,50-74,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-15,Cam Schlittler,NYY,TOR,5+,5.76531356803126,7.0,0.7653135680312602,2.0,True,True,False,0.6913375257309959,HIGH,79,75-89,0.75-0.99,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-15,Braydon Fisher,TOR,NYY,3+,3.1565460243819308,0.0,0.15654602438193077,-3.0,False,False,False,0.6019522711746403,MEDIUM,56,50-74,0.00-0.24,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,OPENER_LIKE,NONE,True,projection-crusher-v2-report-only
2026-08-15,Michael Lorenzen,COL,SFG,4+,4.173256011909386,1.0,0.17325601190938578,-3.0,False,False,False,0.6060032692833557,HIGH,79,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-15,Logan Webb,SFG,COL,5+,5.51839318904492,7.0,0.5183931890449198,2.0,True,True,False,0.6544974299979243,HIGH,76,75-89,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
