slate_date,event_id,commence_time,home_team,away_team,player_id,pitcher,market,side,point,price,bookmaker_id,book,provider,book_last_updated_at,deeplink,fetched_at_utc
2026-08-19,fCx074PWzF6w4PC2UPBK,2026-08-20T00:40:00+00:00,Colorado Rockies,Los Angeles Dodgers,ROKI_SASAKI_1_MLB,Roki Sasaki,pitcher_outs,Under,16.5,-120.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-19T23:39:39.306Z,,2026-08-19T23:41:59.192878+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,GERRIT_COLE_1_MLB,Gerrit Cole,pitcher_strikeouts,Over,6.5,-120.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,GERRIT_COLE_1_MLB,Gerrit Cole,pitcher_strikeouts,Under,6.5,-115.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,KYLE_BRADISH_1_MLB,Kyle Bradish,pitcher_strikeouts,Over,5.5,-140.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,KYLE_BRADISH_1_MLB,Kyle Bradish,pitcher_strikeouts,Under,5.5,105.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,GERRIT_COLE_1_MLB,Gerrit Cole,pitcher_hits_allowed,Over,4.5,-163.0,draftkings,DraftKings,SPORTSGAMEODDS,2026-08-20T21:00:05.972Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,GERRIT_COLE_1_MLB,Gerrit Cole,pitcher_hits_allowed,Under,4.5,123.0,draftkings,DraftKings,SPORTSGAMEODDS,2026-08-20T21:00:05.972Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,GERRIT_COLE_1_MLB,Gerrit Cole,pitcher_outs,Over,17.5,-165.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,GERRIT_COLE_1_MLB,Gerrit Cole,pitcher_outs,Under,17.5,115.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
2026-08-20,dCJLPOV2OCjROYLQjklS,2026-08-20T22:35:00+00:00,Baltimore Orioles,New York Yankees,KYLE_BRADISH_1_MLB,Kyle Bradish,pitcher_outs,Over,16.5,-135.0,espnbet,ESPN BET,SPORTSGAMEODDS,2026-08-20T21:01:29.369Z,,2026-08-20T21:03:38.222527+00:00
