game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Matchup_PA,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Applied_Projection,Matchup_Adjustment_K,Actual_Strikeouts,Cap_K,Capped_Adjustment_K,Cap_Was_Binding,Capped_Projection,Applied_Absolute_Error,Capped_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Capped_Error,Neutral_Error,Capped_Win_vs_Applied,Applied_Win_vs_Capped,Capped_Applied_Tie,Capped_Win_vs_Neutral,Neutral_Win_vs_Capped,Capped_Neutral_Tie,Evidence_Lane,Counts_For_Promotion,Report_Only,Production_Authority,Validation_Version
2026-08-16,822940,642547,Freddy Peralta,TBR,BAL,0.2427081959527378,1.8708195952737816,1916.0,CONFIRMED,79,70–79,4.955167236879134,5.157942880566768,0.2027756436876338,2.0,0.1,0.1,True,5.055167236879134,3.157942880566768,3.055167236879134,2.9551672368791344,3.157942880566768,3.055167236879134,2.9551672368791344,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,823344,663776,Patrick Sandoval,BOS,PIT,0.2437886503734431,1.9788650373443104,757.0,CONFIRMED,53,<60,5.139341991466803,5.361548644646005,0.2222066531792021,6.0,0.1,0.1,True,5.2393419914668025,0.638451355353995,0.7606580085331975,0.8606580085331972,-0.638451355353995,-0.7606580085331975,-0.8606580085331972,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,822774,656302,Dylan Cease,TOR,NYY,0.2351468697157529,1.114686971575296,2066.0,CONFIRMED,77,70–79,6.63486214486003,6.797942636173971,0.1630804913139414,10.0,0.1,0.1,True,6.734862144860029,3.202057363826029,3.2651378551399706,3.36513785513997,-3.202057363826029,-3.2651378551399706,-3.36513785513997,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,824236,623454,Drew Anderson,DET,CHW,0.2302129423398826,0.6212942339882593,2561.0,CONFIRMED,50,<60,3.618714202627201,3.6685559209445335,0.0498417183173325,5.0,0.1,0.0498417183173325,False,3.6685559209445335,1.3314440790554665,1.3314440790554665,1.381285797372799,-1.3314440790554665,-1.3314440790554665,-1.381285797372799,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,824477,691587,Eury Pérez,MIA,CIN,0.2423788731635306,1.83788731635306,2031.0,CONFIRMED,76,70–79,5.487799333704637,5.708494599050562,0.2206952653459248,5.0,0.1,0.1,True,5.587799333704637,0.708494599050562,0.5877993337046368,0.48779933370463713,0.708494599050562,0.5877993337046368,0.48779933370463713,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,824642,690928,Hunter Dobbins,STL,CHC,0.2271734598291316,0.3173459829131586,2680.0,CONFIRMED,70,70–79,4.508155211371206,4.539976940292121,0.0318217289209146,7.0,0.1,0.0318217289209146,False,4.539976940292121,2.460023059707879,2.460023059707879,2.4918447886287938,-2.460023059707879,-2.460023059707879,-2.4918447886287938,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,824965,682052,Jacob Lopez,ATH,TEX,0.2376393557536326,1.3639355753632594,706.0,CONFIRMED,68,60–69,4.578179454953868,4.715502572247446,0.1373231172935778,6.0,0.1,0.1,True,4.6781794549538676,1.2844974277525543,1.3218205450461324,1.421820545046132,-1.2844974277525543,-1.3218205450461324,-1.421820545046132,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-16,823991,702070,Noah Cameron,KCR,LAA,0.2480854159188163,2.40854159188163,694.0,CONFIRMED,77,70–79,5.416346381202559,5.700107394222463,0.2837610130199035,8.0,0.1,0.1,True,5.516346381202559,2.2998926057775373,2.483653618797441,2.583653618797441,-2.2998926057775373,-2.483653618797441,-2.583653618797441,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-17,822939,663556,Shane McClanahan,TBR,BAL,0.2491752900254052,2.517529002540528,783.0,CONFIRMED,74,70–79,4.4240954590050405,4.666088442026614,0.2419929830215732,3.0,0.1,0.1,True,4.52409545900504,1.6660884420266138,1.5240954590050402,1.4240954590050405,1.6660884420266138,1.5240954590050402,1.4240954590050405,True,False,False,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-17,823343,664285,Framber Valdez,DET,PIT,0.2323345648273234,0.8334564827323476,914.0,CONFIRMED,79,70–79,5.138495804112034,5.233219003117307,0.0947231990052737,5.0,0.1,0.0947231990052737,False,5.233219003117307,0.23321900311730737,0.23321900311730737,0.13849580411203366,0.23321900311730737,0.23321900311730737,0.13849580411203366,False,False,True,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-boost-cap-shadow-v1
