game_date,captured_at_utc,Milestone,Actual_Hit,Prior_Eligible_Starts,Candidate_SIM_Weight,Candidate_MATH_Weight,Baseline_Probability,Candidate_Probability,Baseline_Brier,Candidate_Brier,Candidate_Won,Replay_Version
2026-08-14,2026-08-14T19:41:09.335294+00:00,7,1.0,43,0.5722222222222222,0.4277777777777778,0.3201235276192581,0.31963190696314303,0.4622320176968817,0.4629007420226093,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,8,1.0,43,0.5722222222222222,0.4277777777777778,0.19128314656834028,0.18935291428624668,0.6540229490244047,0.6571486975762013,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.10547039857483065,0.10758945614675064,0.011124004975533638,0.01157549107395358,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.05257361572397115,0.05448224910632253,0.0027639850702917868,0.002968315467683382,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8947266564826585,0.8933640624190424,0.011082476855320192,0.01137122318376988,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.7650401238446785,0.7631392528444654,0.05520614340292404,0.056103013543078104,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.59101235038534,0.5895754676632223,0.16727089753732394,0.16844829674386266,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,6,1.0,43,0.4277777777777778,0.5722222222222222,0.4091975487863685,0.4087407502777328,0.34904753636003544,0.3495875003821383,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.25294097163407986,0.2524237201758239,0.0639791351311924,0.06371773450740263,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.13904449677271435,0.13789406946110006,0.019333372082777373,0.019014774392542688,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.06883743276500515,0.06998683971995033,0.004738592149676604,0.004898157733986017,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.780861+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.03150195965584445,0.032262020495021984,0.0009923734621584514,0.0010408379664212186,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8346249556716336,0.8319418937130918,0.02734890528660914,0.028243527088741734,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.6674672199400904,0.664859596153659,0.11057804981437222,0.11231909029028855,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.4762012304444678,0.4747916303975576,0.2743651509878895,0.27584383150045566,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.30076461036330093,0.30105416519355555,0.09045935084698822,0.09063361038038863,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.16964271354403435,0.16835387714322939,0.028778650258583293,0.028343027949157575,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.08541485311058225,0.0838353743279426,0.007295697131902343,0.007028369988706256,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.0395516533965241,0.040758003331577586,0.0015643332863987762,0.0016612148355768896,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.208409+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.0170472599831153,0.017776308647343066,0.0002906090729319242,0.00031599714912560384,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8348803296202431,0.833655488343167,0.02726450554631958,0.027670496558350233,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.6662095889008485,0.6650034184087488,0.11141603854174058,0.11222270967782384,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,5,0.0,43,0.4277777777777778,0.5722222222222222,0.47242067905569995,0.4718227771415233,0.22318129799944866,0.22261673302953958,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.2969627530746293,0.29705559518540914,0.08818687671366326,0.08824202663095766,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.1642268529147533,0.16346608527151113,0.026970459218284018,0.026721161033992948,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.08151403232214019,0.08071756098671995,0.006644537465414916,0.006515324651644855,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.03595871870543345,0.03662297807399606,0.0012930294509364893,0.0013412425230083962,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:10.674522+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.01417437700652755,0.014621342574137084,0.00020091296352317688,0.00021378365867027365,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8268774328877342,0.8249992843048513,0.02997142324354098,0.03062525049381428,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.6511952768137343,0.6494785945757182,0.1216647349170474,0.12286525566061372,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,5,0.0,43,0.4277777777777778,0.5722222222222222,0.45395468325010063,0.453046804164004,0.2060748544446992,0.2052514067632174,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.2776957249250631,0.2779233296364611,0.07711491564165632,0.07724137715621701,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.15028814931772444,0.14947808330516427,0.022586527825346637,0.022343697388585628,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.0722897218364406,0.07141009534895473,0.005225803883189956,0.005099401717746806,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.030950724082409703,0.03164271756097999,0.000957947321225456,0.0010012615746439516,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.138044+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.012161814131894051,0.012554965062056524,0.00014790972297873785,0.00015762714770945998,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8636105411247181,0.8619365081760664,0.018602084492292205,0.019061527774617386,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.7099204591627534,0.7080947477084845,0.08414614001234784,0.08520867631537334,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,5,0.0,43,0.4277777777777778,0.5722222222222222,0.522383193004128,0.5211443208825021,0.2728842003331881,0.2715914031880843,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.34030673535741635,0.34021815268682093,0.1158086741296226,0.115748391417633,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.1948908281252509,0.19387237517382577,0.03798243488734609,0.037586497855540656,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.09958261356942444,0.09829668049828535,0.009916696925317317,0.009662237396981993,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.0463508035441869,0.047308586278347234,0.002148396989191809,0.0022381023356558244,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:11.779545+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.0193738722661864,0.0199940982601911,0.00037534692658650656,0.00039976396523817674,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8525574044989773,0.8515054740377185,0.02173931896807819,0.0220506242407627,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.6943283368934432,0.6932259855558294,0.09343516562632836,0.09411029593819221,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.5067131679033579,0.5059379588227317,0.24333189871994082,0.24409730053224873,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,6,1.0,43,0.4277777777777778,0.5722222222222222,0.32931667821893496,0.32911975396167,0.44981611811528366,0.4500803045244503,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,7,1.0,43,0.5722222222222222,0.4277777777777778,0.19199960512529757,0.19189566216275455,0.652864638117675,0.6530326208313729,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.10115629827454485,0.10099505519044392,0.010232596680608686,0.010200001172920815,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.046478973015209,0.04688904689518363,0.0021602949325485264,0.0021985827187387297,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.480351+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.019733201191355,0.020023996918995167,0.0003893992292584944,0.00040096045261192793,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.8789479286663211,0.8740755183625675,0.014653603974174085,0.01585697507565608,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.7494154028969313,0.7438247388709325,0.06279264030530726,0.06562576441454593,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.5847128741500884,0.5807829559717679,0.17246339689668028,0.1757429300037687,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.4152048627593533,0.4143273429357044,0.1723950780590134,0.17166714710416078,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.26793035842937085,0.26585463998957287,0.07178667696809114,0.07067868960398539,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.1577549574528642,0.1539365747096727,0.024886626600954993,0.023696469033346646,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.08737526314604174,0.0912601344893589,0.00763443660984004,0.008328412147015872,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:12.903971+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.045537177975755655,0.04874632590558702,0.0020736345779956457,0.0023762042892937043,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.9144656773413443,0.9137529418462051,0.007316120352675019,0.007438555040184072,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.8021109086519409,0.801023373234999,0.03916009247456048,0.039591697998778534,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.6469035342731773,0.6455491558904138,0.1246771141087733,0.12563540088999814,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,6,1.0,43,0.4277777777777778,0.5722222222222222,0.4731817511664725,0.4721160041127407,0.27753746730402457,0.27866151311390003,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,7,1.0,43,0.5722222222222222,0.4277777777777778,0.30984128502004576,0.309921988294928,0.4763190518627816,0.4762076622388255,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,8,1.0,43,0.5722222222222222,0.4277777777777778,0.18331908960334456,0.1827934433273059,0.66696770940631,0.6678265562688411,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,9,1.0,43,0.4277777777777778,0.5722222222222222,0.09880054155141996,0.09944773088662505,0.812160463908014,0.8109943894052485,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:15.616860+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.0483920278871885,0.04896865413756017,0.0023417883630344294,0.002397929088043989,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:16.099033+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.7588032568238328,0.7547592828094976,0.05817586891878998,0.060143009368112,False,calibration-shadow-replay-v1
