game_date,game_pk,pitcher_id,player,team,team_id,catcher_id,catcher_name,catcher_source,catcher_confirmed,catcher_captured_at_utc,catcher_factor,candidate_authority,actual_strikeouts,actual_pitches,actual_batters_faced,actual_outs,capture_version
2026-08-14,824479,695505,Chase Burns,CIN,113,663886.0,Tyler Stephenson,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823346,687562,Jake Bennett,BOS,111,668939.0,Adley Rutschman,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823346,696149,Bubba Chandler,PIT,134,680779.0,Henry Davis,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824237,695549,Jackson Jobe,DET,116,693307.0,Dillon Dingler,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823591,674841,Andrew Alvarez,WSH,120,660688.0,Keibert Ruiz,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824399,650633,Michael King,SDP,135,669134.0,Luis Campusano,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824882,694297,Brandon Pfaadt,ARI,109,672515.0,Gabriel Moreno,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,822777,543037,Gerrit Cole,NYY,147,669224.0,Austin Wells,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824882,519242,Chris Sale,ATL,144,686948.0,Drake Baldwin,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,822942,605135,Chris Bassitt,BAL,110,665966.0,Carlos Narváez,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824399,668909,Gavin Williams,CLE,114,672275.0,Patrick Bailey,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824159,669923,George Kirby,SEA,136,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
