game_date,game_pk,pitcher_id,player,team,opponent,Prior_Resolved_Starts,Feature_Count,OOS_Eligible,Existing_Projection,ML_Shadow_Projection,SIM_Mean,MATH_Mean,Three_Path_Candidate,Three_Path_Eligible,Actual_Strikeouts,Existing_Absolute_Error,ML_Absolute_Error,Three_Path_Absolute_Error,Existing_Error,ML_Error,Three_Path_Error,Report_Only,Validation_Version
2026-08-15,824400,593974,Wandy Peralta,SDP,CLE,76,34,True,2.931011575603759,4.207532994093563,,,,False,1.0,1.9310115756037591,3.2075329940935626,,1.9310115756037591,3.2075329940935626,,True,ml-k-shadow-v1-report-only
2026-08-16,823670,691725,Andrew Painter,PHI,MIN,106,34,True,4.161655880868947,4.741091324015391,,,,False,2.0,2.161655880868947,2.7410913240153914,,2.161655880868947,2.7410913240153914,,True,ml-k-shadow-v1-report-only
2026-08-16,823182,694918,Blade Tidwell,SFG,COL,106,34,True,4.555084306412306,4.294432340300378,,,,False,1.0,3.555084306412306,3.2944323403003777,,3.555084306412306,3.2944323403003777,,True,ml-k-shadow-v1-report-only
2026-08-16,824156,693433,Bryan Woo,SEA,HOU,106,34,True,5.01676483607724,4.12451961441126,,,,False,5.0,0.016764836077239664,0.8754803855887401,,0.016764836077239664,-0.8754803855887401,,True,ml-k-shadow-v1-report-only
2026-08-16,824880,693821,Bryce Elder,ATL,ARI,106,34,True,5.006204567084418,5.315304573345409,,,,False,5.0,0.006204567084417967,0.31530457334540873,,0.006204567084417967,0.31530457334540873,,True,ml-k-shadow-v1-report-only
2026-08-16,824397,663554,Casey Mize,SDP,CLE,106,34,True,4.626856302479892,5.717820384890853,,,,False,3.0,1.6268563024798919,2.717820384890853,,1.6268563024798919,2.717820384890853,,True,ml-k-shadow-v1-report-only
2026-08-16,823590,681035,Christian Scott,NYM,WSH,106,34,True,4.8926211615611,6.057578752923386,,,,False,7.0,2.1073788384389003,0.9424212470766138,,-2.1073788384389003,-0.9424212470766138,,True,ml-k-shadow-v1-report-only
2026-08-16,824965,674003,Cody Bradford,TEX,ATH,106,34,True,4.845734792117946,5.0902699135408005,,,,False,4.0,0.8457347921179457,1.0902699135408005,,0.8457347921179457,1.0902699135408005,,True,ml-k-shadow-v1-report-only
2026-08-16,823670,665152,Dean Kremer,MIN,PHI,106,34,True,4.432639319822826,5.192808641242859,,,,False,6.0,1.567360680177174,0.8071913587571409,,-1.567360680177174,-0.8071913587571409,,True,ml-k-shadow-v1-report-only
2026-08-16,824236,623454,Drew Anderson,DET,CHW,106,34,True,3.6685559209445335,2.950567630037664,,,,False,5.0,1.3314440790554665,2.049432369962336,,-1.3314440790554665,-2.049432369962336,,True,ml-k-shadow-v1-report-only
2026-08-16,822774,656302,Dylan Cease,TOR,NYY,106,34,True,6.797942636173971,4.600469252103697,,,,False,10.0,3.202057363826029,5.399530747896303,,-3.202057363826029,-5.399530747896303,,True,ml-k-shadow-v1-report-only
2026-08-16,824642,665795,Edward Cabrera,CHC,STL,106,34,True,4.565164903313475,4.557576391364269,,,,False,2.0,2.565164903313475,2.557576391364269,,2.565164903313475,2.557576391364269,,True,ml-k-shadow-v1-report-only
2026-08-16,824477,691587,Eury Pérez,MIA,CIN,106,34,True,5.708494599050562,5.182389424338232,,,,False,5.0,0.708494599050562,0.1823894243382318,,0.708494599050562,0.1823894243382318,,True,ml-k-shadow-v1-report-only
2026-08-16,822940,642547,Freddy Peralta,TBR,BAL,106,34,True,5.157942880566768,4.348885296474097,,,,False,2.0,3.157942880566768,2.348885296474097,,3.157942880566768,2.348885296474097,,True,ml-k-shadow-v1-report-only
2026-08-16,823182,687312,Gabriel Hughes,COL,SFG,106,34,True,4.825934159552915,3.292426223949973,,,,False,2.0,2.825934159552915,1.292426223949973,,2.825934159552915,1.292426223949973,,True,ml-k-shadow-v1-report-only
2026-08-16,824156,686613,Hunter Brown,HOU,SEA,106,34,True,5.072816727384349,5.299255321617465,,,,False,5.0,0.07281672738434875,0.2992553216174647,,0.07281672738434875,0.2992553216174647,,True,ml-k-shadow-v1-report-only
2026-08-16,824642,690928,Hunter Dobbins,STL,CHC,106,34,True,4.539976940292121,5.2510958283301,,,,False,7.0,2.460023059707879,1.7489041716699,,-2.460023059707879,-1.7489041716699,,True,ml-k-shadow-v1-report-only
2026-08-16,824965,682052,Jacob Lopez,ATH,TEX,106,34,True,4.715502572247446,5.055864503461412,,,,False,6.0,1.2844974277525543,0.9441354965385882,,-1.2844974277525543,-0.9441354965385882,,True,ml-k-shadow-v1-report-only
