Season,Metric,Leash_Label,Evaluated_Starts,Baseline_MAE,Candidate_MAE,Relative_MAE_Improvement,Candidate_Win_Share,Baseline_Bias,Candidate_Bias,Sample_Gate,MAE_Gate,Win_Gate,Bias_Gate,Promotion_Cell,Reasons,Production_Authority,Report_Only,Validation_Version
2026,BF,ALL,2278,2.6734622082758004,2.7021468604145595,-0.010729402514075103,0.466198419666374,-0.3189463666650868,-0.3000095029443237,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2026,BF,TIGHTER,407,2.7106796790218852,2.8331128126401137,-0.04516695003313964,0.371007371007371,-0.6099068296429995,-1.0167183293224797,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2026,BF,NEUTRAL,1425,2.668682640602728,2.6766664711929775,-0.002991674794439459,0.48140350877192983,-0.3496729831013631,-0.3342581824279672,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2026,BF,LONGER,446,2.6547702202499504,2.6640446453584037,-0.0034934944793753686,0.5044843049327354,0.0447449715719179,0.46345431006038834,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2026,OUTS,ALL,2278,2.748131720244691,2.7779582074281532,-0.010853368840998148,0.4591747146619842,-0.2245360392083264,-0.21186932599408198,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2026,OUTS,TIGHTER,407,2.7907026482749204,2.873632310621174,-0.029716409377228564,0.36855036855036855,-0.7336127185672373,-1.0744106839466603,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2026,OUTS,NEUTRAL,1425,2.708521533148341,2.7220683323056263,-0.005001547520110905,0.48,-0.20444582929069682,-0.2015945838444774,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2026,OUTS,LONGER,446,2.8358405742895254,2.869222135791473,-0.011771311054857413,0.47533632286995514,0.17583539434874665,0.5424195195743322,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
POOLED,PITCHES,ALL,5835,8.855337405634968,8.982247595156531,-0.01433149113446608,0.45809768637532133,-0.4979082033559973,-0.39935710730031565,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
POOLED,PITCHES,TIGHTER,966,9.731162042906531,10.288775433500248,-0.05730182974398068,0.3105590062111801,-1.8719311812508104,-3.395674266306988,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
POOLED,PITCHES,NEUTRAL,3712,8.714711878046996,8.767333387370902,-0.006038238562592464,0.47521551724137934,-0.4954261163320764,-0.44247700312049704,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
POOLED,PITCHES,LONGER,1157,8.57526424988927,8.580912804715924,-0.0006587032961375947,0.526361279170268,0.6413248905191928,2.2406631423841783,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
POOLED,BF,ALL,5835,2.6116290394504973,2.64105816989711,-0.01126849564086813,0.4570694087403599,-0.21767269370665104,-0.18697016971675326,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
POOLED,BF,TIGHTER,966,2.7365658720237507,2.8385048369468913,-0.03725068925446859,0.37888198757763975,-0.5831542203068127,-0.9619020386914787,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
POOLED,BF,NEUTRAL,3712,2.5803047983498035,2.594083057485715,-0.005339779682122582,0.4657866379310345,-0.22789304259187287,-0.21553865688927873,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
POOLED,BF,LONGER,1157,2.6078145214729815,2.6269165423266774,-0.00732491544026926,0.4943820224719101,0.1202642896621474,0.5516905129228312,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
POOLED,OUTS,ALL,5835,2.811314612581318,2.8417663971321736,-0.010831866492130218,0.45552699228791776,-0.13536432007329322,-0.10840863676816062,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
POOLED,OUTS,TIGHTER,966,2.8989289115316454,2.978632688721029,-0.027494215836866447,0.37577639751552794,-0.6011883189383476,-0.9375864698637446,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
POOLED,OUTS,NEUTRAL,3712,2.7495135429815574,2.7672769806078086,-0.0064605746975112685,0.46848060344827586,-0.11222890744948764,-0.09721261209279168,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
POOLED,OUTS,LONGER,1157,2.936440072882352,2.966478477048865,-0.010229530799526185,0.48055315471045806,0.17933518834855314,0.5479665950169426,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
