Pitcher,Resolved_Starts,Below_Projection_Count,Below_Projection_Rate,Mean_K_Residual,Median_K_Residual,Material_Underperform_Events,Material_Underperform_Rate,Underperformer_Status,Report_Only,Production_Authority,Research_Version
Ethan Pecko,1,0,0.0,0.8762942868855199,0.8762942868855199,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cristian Javier,1,0,0.0,0.9199711300989595,0.9199711300989595,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Lake Bachar,1,0,0.0,0.9459784556708026,0.9459784556708026,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Bubba Chandler,2,0,0.0,0.9546598997131803,0.9546598997131803,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Justin Wrobleski,1,0,0.0,0.9594076988293283,0.9594076988293283,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Grayson Rodriguez,2,0,0.0,1.0574431067161068,1.0574431067161068,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Robert Stock,2,0,0.0,1.144033310264931,1.144033310264931,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Tarik Skubal,1,0,0.0,1.1743465532220458,1.1743465532220458,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Adrian Houser,1,0,0.0,1.175971597572667,1.175971597572667,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Sonny Gray,2,0,0.0,1.1788370212136612,1.1788370212136612,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
David Peterson,1,0,0.0,1.2064572708831136,1.2064572708831136,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jacob Lopez,1,0,0.0,1.2844974277525543,1.2844974277525543,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Walbert Ureña,2,0,0.0,1.2908626269132495,1.2908626269132495,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Connor Prielipp,2,0,0.0,1.3079621607451126,1.3079621607451126,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kyle Leahy,2,0,0.0,1.3124106434945424,1.3124106434945424,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Trevor Rogers,2,0,0.0,1.3163346313145183,1.3163346313145183,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Drew Anderson,1,0,0.0,1.3314440790554665,1.3314440790554665,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Shane Bieber,2,0,0.0,1.4192418293407614,1.4192418293407614,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cal Quantrill,2,0,0.0,1.4402015793057914,1.4402015793057914,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Joey Cantillo,2,0,0.0,1.5451910294230173,1.5451910294230173,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Dean Kremer,1,0,0.0,1.567360680177174,1.567360680177174,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jake Irvin,1,0,0.0,1.585615449163111,1.585615449163111,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Quinn Mathews,1,0,0.0,1.6023746015113334,1.6023746015113334,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Emerson Hancock,2,0,0.0,1.681409465137655,1.681409465137655,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Eric Lauer,2,0,0.0,1.701265551699013,1.701265551699013,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Chris Sale,2,0,0.0,1.8159113860034397,1.8159113860034397,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
George Klassen,2,0,0.0,2.0559197379661205,2.0559197379661205,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Christian Scott,1,0,0.0,2.1073788384389003,2.1073788384389003,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Tyler Phillips,1,0,0.0,2.133607217584105,2.133607217584105,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Dylan Cease,2,0,0.0,2.1431071496588503,2.1431071496588503,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Parker Messick,2,0,0.0,2.2202597089014056,2.2202597089014056,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Chase Burns,2,0,0.0,2.480662184825445,2.480662184825445,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Matthew Liberatore,2,0,0.0,2.5782806584270057,2.5782806584270057,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jared Jones,1,0,0.0,2.6304772431755072,2.6304772431755072,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jesús Luzardo,2,0,0.0,2.8151525020227797,2.8151525020227797,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Brandon Pfaadt,2,0,0.0,2.9629154764134578,2.9629154764134578,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kyle Harrison,1,0,0.0,3.0122020245658625,3.0122020245658625,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Yoshinobu Yamamoto,2,0,0.0,3.0585591039861995,3.0585591039861995,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Ian Seymour,2,0,0.0,3.21151256254819,3.21151256254819,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Aaron Nola,2,0,0.0,3.3075348894204177,3.3075348894204177,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Shota Imanaga,1,0,0.0,4.681753329290379,4.681753329290379,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cade Cavalli,2,0,0.0,5.059375164964646,5.059375164964646,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
