Game_Date,Pitcher,Pitcher_ID,Projection,K_Target,Target_Label,Projection_Headroom,Actual_K,Ladder_Win,Target_Probability,Brier,Confidence,Data_Quality,Opponent_K_Pct,Headroom_Bucket,Quality_Bucket,Opponent_K_Bucket,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-15,Troy Melton,675512,5.350953547943936,5,5+,0.3509535479439361,4.0,False,0.6292303560933765,0.3959308410293974,HIGH,64,23.17671596370065,0.25-0.49,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Michael McGreevy,700241,4.488471728532872,4,4+,0.4884717285328719,6.0,True,0.6638396461552099,0.11300378349705452,HIGH,78,22.967240498159555,0.25-0.49,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Matthew Boyd,571510,5.168619874051423,5,5+,0.16861987405142287,2.0,False,0.5929966086063977,0.3516449778186892,HIGH,65,20.904101664780363,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Cam Schlittler,693645,5.76531356803126,5,5+,0.7653135680312602,7.0,True,0.6913375257309959,0.09527252302186359,HIGH,79,21.08347091533089,0.75-0.99,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Braydon Fisher,680755,3.1565460243819308,3,3+,0.15654602438193077,0.0,False,0.6019522711746403,0.3623465367723077,MEDIUM,56,24.33876440330708,0.00-0.24,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Michael Lorenzen,547179,4.173256011909386,4,4+,0.17325601190938578,1.0,False,0.6060032692833557,0.3672399623821153,HIGH,79,20.989147327779488,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Logan Webb,657277,5.51839318904492,5,5+,0.5183931890449198,7.0,True,0.6544974299979243,0.11937202587803925,HIGH,76,22.928116873182663,0.50-0.74,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Brad Lord,695418,3.8440168524749634,3,3+,0.8440168524749634,1.0,False,0.7388357192287311,0.5458782200082365,HIGH,76,22.40127994997025,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Sean Manaea,640455,5.368189786752298,5,5+,0.3681897867522981,7.0,True,0.623626726635202,0.14165684090333294,HIGH,78,22.43566373632261,0.25-0.49,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Kyle Bradish,680694,4.529826520715504,4,4+,0.5298265207155044,3.0,False,0.6447638047220614,0.41572036387966854,HIGH,78,18.273325057568787,0.50-0.74,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
