game_pk,game_date,pitcher_id,player,team,opponent,venue,game_time,captured_at_utc,app_version,projection,k_sd,k_range_low,k_range_high,confidence,data_quality,simulation_draws,opponent_k_pct,pitch_limit,umpire_k_factor,weather_factor,rest_factor,actual_strikeouts,resolved_at_utc,sim_3p,math_3p,sim_4p,math_4p,sim_5p,math_5p,sim_6p,math_6p,sim_7p,math_7p,sim_8p,math_8p,sim_9p,math_9p,sim_10p,math_10p,probability_semantics
823189,2026-08-10,694918,Blade Tidwell,SFG,HOU,Oracle Park,2026-08-11T01:45:00Z,2026-08-10T14:18:15.126013+00:00,3.2.0,3.187077197930339,1.395407659658925,1,5,Medium,48,25000,22.4,92.0,1.0,1.0,1.0,6.0,2026-08-11T04:10:33.627282+00:00,0.299,0.4782738382183689,0.1488,0.2879936808362328,0.0672,0.1520790464384334,0.0278,0.071114066881681,0.012,0.0297407193606618,0.00476,0.0112271076573698,0.00152,0.0038574410805156,0.0006,0.0012151205711181,
823918,2026-08-10,702070,Noah Cameron,KCR,LAD,UNIQLO Field at Dodger Stadium,2026-08-11T02:10:00Z,2026-08-10T14:18:15.187563+00:00,3.2.0,5.275654789183879,2.3482792006981525,3,8,High,68,25000,22.4,92.0,1.0,1.0,1.0,2.0,2026-08-11T04:10:33.635654+00:00,0.79412,0.7411938396593566,0.62348,0.5843908073345347,0.4378,0.4265277988175749,0.26876,0.2891410197897948,0.1458,0.1829666685662419,0.07312,0.1086759247349748,0.03132,0.0609186256750314,0.01248,0.03239063100132,
823918,2026-08-10,669373,Tarik Skubal,LAD,KCR,UNIQLO Field at Dodger Stadium,2026-08-11T02:10:00Z,2026-08-10T14:18:15.218087+00:00,3.2.0,6.185242893148338,2.2695847636776265,3,9,High,60,25000,22.4,92.0,1.0,1.0,1.0,6.0,2026-08-11T04:10:33.644438+00:00,0.89448,0.8643450285510814,0.76884,0.7387174132855622,0.60812,0.5834055306144291,0.42608,0.4233552636511948,0.26608,0.2819470296006149,0.14624,0.1725981381287626,0.0708,0.0974159682675669,0.03164,0.050881890149668,
824240,2026-08-11,676440,Tanner Bibee,CLE,DET,Comerica Park,2026-08-11T22:40:00Z,2026-08-11T04:10:34.181553+00:00,3.2.0,5.134631083279752,2.2177124499830896,3,8,High,70,25000,22.4,92.0,1.0,1.0,1.0,,,0.89892,0.8825064470560485,0.76772,0.7482411135459716,0.59352,0.5778149053810949,0.4094,0.40413593162853206,0.25248,0.25611615327676013,0.13264,0.14760287307123135,0.06324,0.07774970778414728,0.0278,0.037638717498627516,milestone-ceil-v1
824240,2026-08-11,623454,Drew Anderson,DET,CLE,Comerica Park,2026-08-11T22:40:00Z,2026-08-11T04:10:34.213221+00:00,3.2.0,3.35646337935976,1.545719737107743,1,5,Medium,70,25000,22.4,92.0,1.0,1.0,1.0,,,0.54756,0.749804674025017,0.2978,0.550824783232158,0.13092,0.3558631550517171,0.046,0.2029443681734598,0.01392,0.10292758660988537,0.00364,0.046820268428026654,0.00104,0.019261778858637574,0.0002,0.007221963727310523,milestone-ceil-v1
823832,2026-08-11,694973,Paul Skenes,PIT,MIA,loanDepot park,2026-08-11T22:40:00Z,2026-08-11T04:10:34.247926+00:00,3.2.0,5.565366740682601,2.330282879212152,3,9,High,70,25000,22.4,92.0,1.0,1.0,1.0,,,0.9302,0.9109116508033688,0.82708,0.7990641134029511,0.67292,0.646356069594703,0.49208,0.4784589173304663,0.32508,0.3236197654692782,0.19288,0.2004255501915766,0.1048,0.11410611510391268,0.05,0.059998662877015024,milestone-ceil-v1
823832,2026-08-11,691587,Eury Pérez,MIA,PIT,loanDepot park,2026-08-11T22:40:00Z,2026-08-11T04:10:34.288215+00:00,3.2.0,5.570617218065954,2.29098312289941,3,8,High,65,25000,22.4,92.0,1.0,1.0,1.0,,,0.9278,0.9130472096686609,0.82312,0.8017184992234525,0.6698,0.6482999958694754,0.4938,0.47872533467357187,0.32516,0.3221286008285831,0.18952,0.1978562415518831,0.09624,0.11134182828913264,0.04516,0.057668188895816874,milestone-ceil-v1
822697,2026-08-11,684007,Shota Imanaga,CHC,WSH,Nationals Park,2026-08-11T22:45:00Z,2026-08-11T04:10:34.324295+00:00,3.2.0,5.369257278293896,2.325424723290252,3,8,High,70,25000,22.4,92.0,1.0,1.0,1.0,,,0.91988,0.883445174570064,0.8028,0.7586411350834394,0.63832,0.6022162149924443,0.4512,0.44085222430703863,0.28312,0.29825244304294524,0.16116,0.18729541787684603,0.07604,0.10974861808499982,0.03272,0.060329423184284706,milestone-ceil-v1
823512,2026-08-11,693433,Bryan Woo,SEA,NYY,Yankee Stadium,2026-08-11T23:05:00Z,2026-08-11T04:10:34.361300+00:00,3.2.0,5.604753832221759,2.368075206178295,3,9,High,68,25000,22.4,92.0,1.0,1.0,1.0,,,0.9374,0.9002708374721955,0.83824,0.7864549096143474,0.67928,0.6376582761967057,0.498,0.47795828602055823,0.32328,0.3314763756650526,0.18248,0.21344549727257398,0.09072,0.1282064967243697,0.04048,0.07219112150366813,milestone-ceil-v1
823512,2026-08-11,677960,Ryan Weathers,NYY,SEA,Yankee Stadium,2026-08-11T23:05:00Z,2026-08-11T04:10:34.396553+00:00,3.2.0,5.398651148678238,2.208790989741356,3,8,High,68,25000,22.4,92.0,1.0,1.0,1.0,,,0.91652,0.9032295338660999,0.8026,0.7832081213166977,0.64224,0.6221257597076704,0.4604,0.44911325613021724,0.2952,0.29420450372424106,0.16592,0.17527823602639805,0.08412,0.09536149208310055,0.03844,0.04760908110044373,milestone-ceil-v1
