Game_Date,Pitcher,Pitcher_ID,Team,Opponent,Projection,Actual_K,K_Residual,Beat_Projection,Material_Crusher_Event,Confidence,Data_Quality,Opponent_K_Pct,Lineup_State,Starter_Role,Leash_Label,SIM_Mean_K,MATH_Mean_K,SIM_MATH_Disagreement,Projection_SD,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-14,Robert Stock,476594,NYM,WSH,4.350693049617538,5.0,0.6493069503824618,True,False,MEDIUM,47,20.467410528285704,CONFIRMED,ESTABLISHED,TIGHT,,,,1.996185728608068,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Michael King,650633,SDP,CLE,4.756564500312371,4.0,-0.7565645003123711,False,False,HIGH,79,19.155603612059853,CONFIRMED,ESTABLISHED,NORMAL,,,,1.868770269461508,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Gavin Williams,668909,CLE,SDP,5.778883370854544,5.0,-0.778883370854544,False,False,HIGH,79,20.330232778384666,CONFIRMED,ESTABLISHED,NORMAL,,,,2.4319888307961777,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Brandon Pfaadt,694297,ARI,ATL,4.695923424536369,7.0,2.3040765754636308,True,True,HIGH,79,21.612755374421035,CONFIRMED,ESTABLISHED,NORMAL,,,,2.0713114999758457,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Gerrit Cole,543037,NYY,TOR,5.1837125225898735,5.0,-0.18371252258987347,False,False,HIGH,65,18.69173244256435,CONFIRMED,ESTABLISHED,NORMAL,,,,2.396159099522176,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Shane Bieber,669456,TOR,NYY,4.789902636901819,5.0,0.21009736309818106,True,False,HIGH,68,24.402589062889312,CONFIRMED,ESTABLISHED,TIGHT,,,,2.110774167338472,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,George Kirby,669923,SEA,HOU,5.055233311872689,2.0,-3.055233311872689,False,False,HIGH,77,21.338994807369552,CONFIRMED,ESTABLISHED,NORMAL,,,,1.9818837427740936,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Peter Lambert,663567,HOU,SEA,4.964871980644212,6.0,1.0351280193557884,True,False,HIGH,74,19.690092929731883,CONFIRMED,ESTABLISHED,NORMAL,,,,2.0133553788417604,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Seth Lugo,607625,KCR,LAA,4.862892118380245,4.0,-0.8628921183802447,False,False,HIGH,79,22.21333703669492,CONFIRMED,ESTABLISHED,NORMAL,,,,1.972753676751089,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Grayson Rodriguez,680570,LAA,KCR,4.497707170109626,5.0,0.5022928298903739,True,False,HIGH,62,21.24778909785245,CONFIRMED,ESTABLISHED,NORMAL,,,,2.177262331180518,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Kumar Rocker,677958,TEX,ATH,4.395781761680474,3.0,-1.3957817616804737,False,False,HIGH,74,19.444362526494164,CONFIRMED,ESTABLISHED,TIGHT,,,,1.742929474817993,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Robert Gasser,688107,MIL,LAD,4.7466171474424845,7.0,2.2533828525575155,True,True,HIGH,64,21.41393421271099,CONFIRMED,ESTABLISHED,NORMAL,,,,1.7478296448849648,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Yoshinobu Yamamoto,808967,LAD,MIL,5.946600628694665,9.0,3.0533993713053347,True,True,HIGH,76,22.3038949326692,CONFIRMED,ESTABLISHED,LONG,,,,2.198389384996228,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Kyle Freeland,607536,COL,SFG,5.705471119678161,2.0,-3.705471119678161,False,False,HIGH,76,24.48012631936205,CONFIRMED,ESTABLISHED,NORMAL,,,,2.189009080690279,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Landen Roupp,694738,SFG,COL,5.18952142514298,5.0,-0.18952142514298043,False,False,HIGH,78,21.802137374731466,CONFIRMED,ESTABLISHED,NORMAL,,,,1.977811165111942,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Chris Sale,519242,ATL,ARI,5.485459497169694,9.0,3.5145405028303056,True,True,HIGH,76,18.856924272379217,CONFIRMED,ESTABLISHED,LONG,,,,2.1995572045602696,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Chris Bassitt,605135,BAL,TBR,4.100788408450873,3.0,-1.1007884084508728,False,False,HIGH,79,18.555504839606428,CONFIRMED,ESTABLISHED,TIGHT,,,,2.1547957922832586,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Steven Matz,571927,TBR,BAL,4.256740631891617,1.0,-3.256740631891617,False,False,HIGH,62,26.11599085278673,CONFIRMED,LOW_RECENT_EXPOSURE,TIGHT,,,,2.1358575447746486,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Gage Jump,695611,ATH,TEX,5.663479055047671,1.0,-4.663479055047671,False,False,HIGH,65,24.519953321152848,CONFIRMED,ESTABLISHED,NORMAL,,,,2.332109629115426,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Anthony Kay,641743,CHW,DET,4.794158051567684,4.0,-0.7941580515676838,False,False,HIGH,77,22.98993930276515,CONFIRMED,RAMPING,NORMAL,,,,1.9263789987604336,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Troy Melton,675512,DET,CHW,5.350953547943936,4.0,-1.350953547943936,False,False,HIGH,64,23.17671596370065,CONFIRMED,ESTABLISHED,NORMAL,,,,2.144218336385305,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Michael McGreevy,700241,STL,CHC,4.488471728532872,6.0,1.511528271467128,True,False,HIGH,78,22.967240498159555,CONFIRMED,ESTABLISHED,NORMAL,,,,1.9892978291591648,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Matthew Boyd,571510,CHC,STL,5.168619874051423,2.0,-3.168619874051423,False,False,HIGH,65,20.904101664780363,CONFIRMED,ESTABLISHED,NORMAL,,,,2.139924381967768,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Cam Schlittler,693645,NYY,TOR,5.76531356803126,7.0,1.2346864319687398,True,False,HIGH,79,21.08347091533089,CONFIRMED,ESTABLISHED,NORMAL,,,,2.2883148768032373,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Braydon Fisher,680755,TOR,NYY,3.1565460243819308,0.0,-3.1565460243819308,False,False,MEDIUM,56,24.33876440330708,CONFIRMED,OPENER_LIKE,TIGHT,,,,1.3485090070694374,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-15,Michael Lorenzen,547179,COL,SFG,4.173256011909386,1.0,-3.1732560119093858,False,False,HIGH,79,20.989147327779488,CONFIRMED,ESTABLISHED,NORMAL,,,,1.891758883104821,True,NONE,True,projection-crusher-shadow-v1-report-only
